,municipio_origen,id_via
0,Acolman,316
1,Amecameca,23
2,Apaxco,6
3,Atenco,118
4,Atizapán de Zaragoza,793
5,Atlautla,16
6,Axapusco,11
7,Ayapango,4
8,Azcapotzalco,792
9,Benito Juárez,924
10,Chalco,479
11,Chiautla,40
12,Chicoloapan,419
13,Chiconcuac,13
14,Chimalhuacán,1153
15,Coacalco de Berriozábal,534
16,Cocotitlán,14
17,Coyoacán,1389
18,Coyotepec,61
19,Cuajimalpa de Morelos,509
20,Cuauhtémoc,914
21,Cuautitlán,249
22,Cuautitlán Izcalli,621
23,Ecatepec de Morelos,2502
24,Ecatzingo,2
25,Gustavo A. Madero,2463
26,Huehuetoca,107
27,Hueypoxtla,43
28,Huixquilucan,349
29,Isidro Fabela,1
30,Ixtapaluca,856
31,Iztacalco,1012
32,Iztapalapa,3529
33,Jaltenco,67
34,Jilotzingo,12
35,Juchitepec,9
36,La Magdalena Contreras,544
37,La Paz,413
38,Melchor Ocampo,108
39,Miguel Hidalgo,607
40,Milpa Alta,194
41,Naucalpan de Juárez,939
42,Nextlalpan,26
43,Nezahualcóyotl,2010
44,Nicolás Romero,801
45,Nopaltepec,6
46,Otumba,11
47,Ozumba,18
48,Papalotla,5
49,San Martín de las Pirámides,4
50,Tecámac,616
51,Temamatla,1
52,Temascalapa,11
53,Tenango del Aire,6
54,Teoloyucan,91
55,Teotihuacán,43
56,Tepetlaoxtoc,18
57,Tepetlixpa,25
58,Tepotzotlán,127
59,Tequixquiac,28
60,Texcoco,201
61,Tezoyuca,76
62,Tizayuca,107
63,Tlalmanalco,74
64,Tlalnepantla de Baz,1107
65,Tlalpan,1390
66,Tláhuac,722
67,Tonanitla,15
68,Tultepec,196
69,Tultitlán,1102
70,Valle de Chalco Solidaridad,531
71,Venustiano Carranza,962
72,Villa del Carbón,7
73,Xochimilco,716
74,Zumpango,186
75,Álvaro Obregón,1555
